score_id,score_group,category,criterion,min_value,max_value,unit,points,maximum_points,is_mandatory,minimum_required_points,evidence_document,source_document,source_page,raw_text,notes
SCORE-031,기본항목,age,나이(만 나이 기준),19,26,세,40,60,,,여권 또는 외국인등록증,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차),3,19세 ~ 26세 | 40점,"여권/외국인등록증상 생년월일 기준, '23.6.28. 시행된 '만 나이' 계산법 적용"
SCORE-032,기본항목,age,나이(만 나이 기준),27,33,세,60,60,,,여권 또는 외국인등록증,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차),3,27세 ~ 33세 | 60점,
SCORE-033,기본항목,age,나이(만 나이 기준),34,40,세,30,60,,,여권 또는 외국인등록증,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차),3,34세 ~ 40세 | 30점,
SCORE-034,기본항목,age,나이(만 나이 기준),41,,세,10,60,,,여권 또는 외국인등록증,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차),3,41세 ~ | 10점,
SCORE-041,가점항목,recommendation,추천 - 중앙부처,,,,30,,TRUE,,추천서,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차),6,① 중앙부처 | 30,"가.고용주 및 지자체 추천[필수항목] 중 지자체 추천 부분 - 중앙부처/광역지자체 중 택1(중복 시 하나만 인정) / source_page를 PDF 기준에서 HWPX 기준(+1)으로 정정함(HWPX 4페이지의 빈 박스 때문에 5페이지부터 PDF보다 한 페이지씩 밀림 - HWPX가 기준 문서, #7 결정)"
SCORE-042,가점항목,recommendation,추천 - 광역지자체,,,,50,,TRUE,,추천서,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차),6,② 광역지자체 | 50,"가.고용주 및 지자체 추천[필수항목] 중 지자체 추천 부분 - 중앙부처/광역지자체 중 택1(중복 시 하나만 인정). 광역지자체 추천 규모: 17개 광역지자체 중 법무부 쿼터 배정받은 지자체 한해 배정 쿼터 범위 내 / source_page를 PDF 기준에서 HWPX 기준(+1)으로 정정함(HWPX 4페이지의 빈 박스 때문에 5페이지부터 PDF보다 한 페이지씩 밀림 - HWPX가 기준 문서, #7 결정)"
SCORE-043,가점항목,employment,고용기업체 추천,,,,50,,TRUE,,"고용기업 추천서(서식5), 대표 신분증 사본",충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차),6,고용기업체 | 50,"가.고용주 및 지자체 추천[필수항목] - 현재 1년 이상 근무 중인 기업 대표자 추천 필요. 인구감소지역 근무 예정이면 근로기간 제한 없음. 세금 체납 업체는 제외대상. 임금체불·폭행 등 인권침해/불법고용 적발 시 해당 기업 추천권 즉시 박탈 및 5년간 추천 제한 / source_page를 PDF 기준에서 HWPX 기준(+1)으로 정정함(HWPX 4페이지의 빈 박스 때문에 5페이지부터 PDF보다 한 페이지씩 밀림 - HWPX가 기준 문서, #7 결정)"
SCORE-044,가점항목,tenure,현근무처 3년 이상 근속,3,,년,20,,,,,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차),6,③현근무처 3년 이상근속 | 20,"재입국특례 외국인 근로자는 출국 직전까지 근무 기록 합산 가능. 건설업 등 현장 간 이동은 사업주·직무범위 동일 시 근무처 변경 절차 없이 이동 허용 / source_page를 PDF 기준에서 HWPX 기준(+1)으로 정정함(HWPX 4페이지의 빈 박스 때문에 5페이지부터 PDF보다 한 페이지씩 밀림 - HWPX가 기준 문서, #7 결정)"
SCORE-045,가점항목,residence,인구감소(관심)지역 및(또는) 읍·면지역 3년 이상 근무,3,,년,20,,,,,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차),7,④인구감소(관심)지역및(또는) 읍·면지역 3년 이상 근무 | 20,"과거 10년 이내 E-9·E-10·H-2 자격 중 하나 또는 합산 3년 이상. 인구감소지역·읍면지역 경력 간 합산 가능 / source_page를 PDF 기준에서 HWPX 기준(+1)으로 정정함(HWPX 4페이지의 빈 박스 때문에 5페이지부터 PDF보다 한 페이지씩 밀림 - HWPX가 기준 문서, #7 결정)"
SCORE-046,가점항목,credential,자격증 또는 국내 학위,,,,20,,,,국가기술자격증(기사/산업기사/기능사) 또는 국내대학 전문학사 이상 학위증,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차),7,⑤자격증 또는 국내 학위 | 20,"자격증은 신청일 현재 근무 분야와 관련된 기술·기능분야에 한함. 학위는 국내대학 정규과정 전문학사 이상 / source_page를 PDF 기준에서 HWPX 기준(+1)으로 정정함(HWPX 4페이지의 빈 박스 때문에 5페이지부터 PDF보다 한 페이지씩 밀림 - HWPX가 기준 문서, #7 결정)"
SCORE-047,가점항목,credential,국내 운전면허증,,,,10,,,,국내 운전면허증(2종 보통 이상),충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차),7,⑥국내운전면허증 | 10,"제2종 보통면허 이상만 인정, 경찰청 교통민원24에서 진위확인 / source_page를 PDF 기준에서 HWPX 기준(+1)으로 정정함(HWPX 4페이지의 빈 박스 때문에 5페이지부터 PDF보다 한 페이지씩 밀림 - HWPX가 기준 문서, #7 결정)"
SCORE-0511,감점항목,penalty,벌금 300만원 미만의 형 - 1회,,,,-5,-50,,,,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차),3,벌금 300만원 미만의 형(최대 20점) | 1회 | 5,"이 항목 자체 최대 감점 20점. 감점항목 전체 합산 최대 50점 이내. 신청일 기준 10년 이내 건만 적용. [불일치] 8차 공고문 3페이지 점수표는 '300만원 미만'인데, 같은 공고문 16페이지 [서식3] 점수제 자체 심사표는 '100만원 미만'으로 다르게 적혀 있음 - 어느 쪽이 맞는지 확인 필요, 임의로 하나를 고르지 않고 두 값 모두 기록함"
SCORE-0512,감점항목,penalty,벌금 300만원 미만의 형 - 2회,,,,-10,-50,,,,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차),3,벌금 300만원 미만의 형(최대 20점) | 2회 | 10,
SCORE-0513,감점항목,penalty,벌금 300만원 미만의 형 - 3회(이상),,,,-20,-50,,,,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차),3,벌금 300만원 미만의 형(최대 20점) | 3회(이상) | 20,
SCORE-0521,감점항목,penalty,체납으로 체류허가 제한을 받은 사실이 있는 자 - 1회,,,,-5,-50,,,,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차),3,체납으로 체류허가 제한을 받은 사실이 있는 자(최대 15점) | 1회 | 5,이 항목 자체 최대 감점 15점. 감점항목 전체 합산 최대 50점 이내. 신청일 기준 10년 이내 건만 적용
SCORE-0522,감점항목,penalty,체납으로 체류허가 제한을 받은 사실이 있는 자 - 2회,,,,-10,-50,,,,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차),3,체납으로 체류허가 제한을 받은 사실이 있는 자(최대 15점) | 2회 | 10,
SCORE-0523,감점항목,penalty,체납으로 체류허가 제한을 받은 사실이 있는 자 - 3회(이상),,,,-15,-50,,,,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차),3,체납으로 체류허가 제한을 받은 사실이 있는 자(최대 15점) | 3회(이상) | 15,
SCORE-0531,감점항목,penalty,출입국관리법 3회 이하 위반자로 행정처분을 받은 자(과태료 미포함) - 1회,,,,-5,-50,,,,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차),3,출입국관리법 3회 이하 위반자로 행정처분을 받은 자(과태료 미포함)(최대 15점) | 1회 | 5,이 항목 자체 최대 감점 15점. 감점항목 전체 합산 최대 50점 이내. 신청일 기준 10년 이내 건만 적용
SCORE-0532,감점항목,penalty,출입국관리법 3회 이하 위반자로 행정처분을 받은 자(과태료 미포함) - 2회,,,,-10,-50,,,,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차),3,출입국관리법 3회 이하 위반자로 행정처분을 받은 자(과태료 미포함)(최대 15점) | 2회 | 10,
SCORE-0533,감점항목,penalty,출입국관리법 3회 이하 위반자로 행정처분을 받은 자(과태료 미포함) - 3회(이상),,,,-15,-50,,,,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차),3,출입국관리법 3회 이하 위반자로 행정처분을 받은 자(과태료 미포함)(최대 15점) | 3회(이상) | 15,
